name,author,number of ratings,url,avg_rat,Num_pages,Awards,Genre,Publishdate
"  A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"2,046,885",https://www.goodreads.com//book/show/13496.A_Game_of_Thrones,4.45,835 pages,"['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Adult', 'Science Fiction Fantasy', 'Fantasy', 'High Fantasy', 'Adventure', 'Fantasy', 'Dragons', 'Audiobook', 'Epic']","[<nobr class=""greyText"">
              (first published August 6th 1996)
            </nobr>]"
  J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"112,425",https://www.goodreads.com//book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,4.60,Hobbit Movie Tie-in Boxed set,[],"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Fantasy', 'Magic']","[<nobr class=""greyText"">
              (first published October 20th 1955)
            </nobr>]"
"  The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss (Goodreads Author),"739,299",https://www.goodreads.com//book/show/186074.The_Name_of_the_Wind,4.52,662 pages,"['Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008)', 'Compton Crook Award Nominee (2008)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger and Traduction (2010)"", 'ALA Alex Award (2008)', 'The Quill Award for Science Fiction/Fantasy/Horror (2007)', 'Sakura Medal for High School Book (2009)', 'Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2010)', 'Tähtifantasia Award Nominee (2011)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Audiobook', 'Epic']","[<nobr class=""greyText"">
              (first published March 27th 2007)
            </nobr>]"
"  The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson (Goodreads Author),"319,614",https://www.goodreads.com//book/show/7235533-the-way-of-kings,4.62,1007 pages,"['Locus Award Nominee for Best Fantasy Novel (2011)', 'David Gemmell Legend Award for Best Fantasy Novel (2011)', 'Whitney Award for Best Novel (2010)', 'Goodreads Choice Award Nominee for Fantasy and for Favorite Book and for Goodreads Author (2010)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Adult', 'Epic', 'Fantasy', 'Magic', 'Adventure']",[]
"  The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"532,855",https://www.goodreads.com//book/show/11127.The_Chronicles_of_Narnia,4.26,Reissue Edition,[],"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Childrens', 'Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction']","[<nobr class=""greyText"">
              (first published 1956)
            </nobr>]"
"  The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"402,524",https://www.goodreads.com//book/show/228665.The_Eye_of_the_World,4.17,814 pages,['Locus Award Nominee for Best Fantasy Book (1991)'],"['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Fantasy', 'Magic', 'Adult', 'Audiobook', 'Epic']","[<nobr class=""greyText"">
              (first published January 15th 1990)
            </nobr>]"
"  The Final Empire (Mistborn, #1)",Brandon Sanderson (Goodreads Author),"419,345",https://www.goodreads.com//book/show/68428.The_Final_Empire,4.44,544 pages,"['Tähtifantasia Award Nominee (2018)', 'Prix Elbakin.net for Meilleur roman fantasy traduit (2010)']","['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'Magic', 'Adult', 'Science Fiction Fantasy', 'Young Adult', 'Audiobook', 'Adventure']","[<nobr class=""greyText"">
              (first published July 17th 2006)
            </nobr>]"
  His Dark Materials (His Dark Materials #1-3),Philip Pullman,"147,381",https://www.goodreads.com//book/show/18116.His_Dark_Materials,4.25,1088 pages,['Literaturpreis der Jury der jungen Leser for Kinderbuch (2002)'],"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Science Fiction Fantasy', 'Adventure', 'Science Fiction', 'Classics', 'Science Fiction', 'Steampunk', 'Childrens', 'Middle Grade']","[<nobr class=""greyText"">
              (first published November 2000)
            </nobr>]"
"  Eragon (The Inheritance Cycle, #1)",Christopher Paolini (Goodreads Author),"1,470,169",https://www.goodreads.com//book/show/113436.Eragon,3.91,503 pages,"[""Book Sense Book of the Year Award for Children's Literature (2004)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007)', 'South Carolina Book Award for Young Adult Book (2006)', 'Grand Canyon Reader Award for Teen Book (2006)', 'Nene Award (2006)', 'Colorado Blue Spruce Young Adult Book Award (2005)', ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2005)"", 'Rhode Island Teen Book Award (2005)', 'Beehive Book Award for Young Adult Book (2005)', 'Evergreen Teen Book Award (2006)', 'Golden Archer Award for Middle/Junior High (2006)', 'Soaring Eagle Book Award (2005)', ""Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2006)"", 'Iowa Teen Award (2008)', 'Eliot Rosewater Indiana High School Book Award (2006)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (2005)', ""Virginia Reader's Choice for Middle (2005)"", 'Missouri Gateway Readers Award for Young Adult (2006)', 'Oklahoma Sequoyah Award for YA (2006)', ""Rebecca Caudill Young Readers' Book Award (2006)""]","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Dragons', 'Adventure', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Childrens']","[<nobr class=""greyText"">
              (first published June 2002)
            </nobr>]"
"  Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb (Goodreads Author),"242,007",https://www.goodreads.com//book/show/77197.Assassin_s_Apprentice,4.15,435 pages,"['Locus Award Nominee for Fantasy (1996)', 'British Fantasy Award Nominee for Best Novel (1997)', 'Compton Crook Award (1996)) Nominee (1996)']","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Fantasy', 'Magic', 'Adult', 'Young Adult', 'Audiobook']","[<nobr class=""greyText"">
              (first published May 1995)
            </nobr>]"
